"Date","National","CABA","PBA","PBA (exlcuding AMBA)","Conurbano","AMBA"
"2020-08-14","282420","75596","175533","16112","159421","235017"
"2020-08-15","289083","76511","179971","16650","163321","239832"
"2020-08-16","294540","77473","183086","17025","166061","243534"
"2020-08-17","299108","78193","185612","17272","168340","246533"
"2020-08-18","305962","79250","190197","17813","172384","251634"
"2020-08-19","312655","80344","194500","18254","176246","256590"
"2020-08-20","320880","81624","199745","19033","180712","262336"
"2020-08-21","329039","82803","205067","19664","185403","268206"
"2020-08-22","336798","83903","209905","20175","189730","273633"
"2020-08-23","342150","84923","212734","20527","192207","277130"
"2020-08-24","350863","86256","218390","21208","197182","283438"
"2020-08-25","359633","87567","223702","21857","201845","289412"
"2020-08-26","370184","89135","230330","22561","207769","296904"
"2020-08-27","380288","90355","236732","23333","213399","303754"
"2020-08-28","392005","91785","244218","24199","220019","311804"
"2020-08-29","401239","92982","249765","0","0","0"
"2020-08-30","408422","94215","253650","25465","228185","322400"
"2020-08-31","417731","95602","258791","26047","232744","328346"
"2020-09-01","428239","96999","264950","0","0","0"
"2020-09-02","439167","98343","271182","27899","243283","341626"
"2020-09-03","451198","99756","278175","0","0","0"
"2020-09-04","461878","101032","283855","29836","254019","355051"
"2020-09-05","471806","102118","289177","0","0","0"
"2020-09-06","478788","102918","292444","31585","260859","363777"
"2020-09-07","488003","104007","297077","32401","264676","368683"
"2020-09-08","496926","105058","301970","33400","268570","373628"
"2020-09-09","512289","106571","310252","34758","275494","382065"
"2020-09-10","524194","107855","316504","35906","280598","388453"
"2020-09-11","535701","109070","322236","36912","285324","394394"
"2020-09-12","546477","110055","328098","38129","289969","400024"
"2020-09-13","555537","110900","331789","0","0","0"
"2020-09-14","565442","111844","336650","39782","296868","408712"
"2020-09-15","577330","112854","342647","41142","301505","414359"
"2020-09-16","589008","113667","348729","42592","306137","419804"
"2020-09-17","601709","114823","355048","43902","311146","425969"
"2020-09-18","613653","115893","360756","45074","315682","431575"
"2020-09-19","622934","116578","364635","0","0","0"
"2020-09-20","631361","117272","368278","46939","321339","438611"
"2020-09-21","640143","117950","371978","47822","324156","442106"
"2020-09-22","652170","118877","377322","49246","328076","446953"
"2020-09-23","664794","119806","382711","50767","331944","451750"
"2020-09-24","678266","120817","388835","0","0","0"
"2020-09-25","691230","121741","394432","53867","340565","462306"
"2020-09-26","702480","122658","398913","55213","343700","466358"
"2020-09-27","711321","123286","401860","56183","345677","468963"
"2020-09-28","723128","124073","406404","57446","348958","473031"
"2020-09-29","736605","125066","411732","58812","352920","477986"
"2020-09-30","750997","125964","417675","60585","357090","483054"
"2020-10-01","764998","126888","423082","62224","360858","487746"
"2020-10-02","779689","127940","428779","0","0","0"
"2020-10-03","790814","128739","433284","65215","368069","496808"
"2020-10-04","798482","129272","435932","66118","369814","499086"
"2020-10-05","809722","129956","440402","67467","372935","502891"
"2020-10-06","824464","130839","446062","69079","376983","507822"
"2020-10-07","840911","131795","451284","70754","380530","512325"
"2020-10-08","856365","132732","456468","72401","384067","516799"
"2020-10-09","871463","133606","461814","74015","387799","521405"
"2020-10-10","883882","134350","465890","0","0","0"
"2020-10-11","894202","134990","468430","76530","391900","526890"
"2020-10-12","903726","135489","470651","77327","393324","528813"
"2020-10-13","917030","136234","475316","78739","396577","532811"
"2020-10-14","931959","137059","480489","80493","399996","537055"
"2020-10-15","949058","137889","486247","82450","403797","541686"
"2020-10-16","965609","138843","491449","0","0","0"
"2020-10-17","979115","139451","495866","86017","409849","549300"
"2020-10-18","989674","139968","498248","87098","411150","551118"
"2020-10-19","1002658","140525","502455","88481","413974","554499"
